,filename,LCD,PLD,LFPD,density cm3_g,ASA_m2_cm3,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,fomula,Cu,H,C,N,O,K,Pb,S,Zn,Co,Yb,Cs,Si,Cd,Cl,Dy,Ni,B,Th,Br,V,P,Ag,Mo,Gd,Na,Ba,Mn,Fe,Pt,F,Lu,W,Sm,In,Sc,Tb,Mg,La,Pd,I,Al,Ce,Cr,Ti,Zr,Nd,Pr,Eu,Y,Hf,U,Li,Rh,Ga,Se,Hg,Ca,Er,Ho,Re,Sr,Ru,Ge,Bi,Sn,Sb,Rb,Tm,Be,Ir,As,Nb,Au,Te,Np,Pu,all_electronegativity,metal_electronegativity,nonmetal_electronegativity,atom_number,volume,density g/cc
26,AHIYUN_clean,5.15091,3.13788,5.03528,1.898,0,616.793,0.3872,0.204004,0,Co,Yes,Co,clean,Y,Co24 H296 C480 O104,0,296,480,0,104,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278.08,45.12,2232.96,904,7998.157841,1.897980812
27,AHOZAA_clean,5.54353,3.15137,5.54353,1.68629,0,512.607,0.4282,0.25393,0,Cd,Yes,Cd,clean,Y,Cd16 H240 C296 N16 O64,0,240,296,16,64,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578.64,27.04,1551.6,632,6739.292589,1.686269039
28,AHUFIU_clean,8.82374,6.2087,8.82374,0.961965,2042.39,0,0.6792,0.706055,0,"Mo,Ag",Yes,Ag,clean,Y,Ag8 Mo16 P16 H180 C232 N16 O40,0,180,232,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258.88,50,1208.88,508,11609.74673,0.961955189
29,AKIXEZ_clean,11.67031,4.35691,11.67031,1.37738,1857.9,0,0.6184,0.448967,0,Cu,Yes,Cu,clean,Y,Cu18 H468 C720 O72,18,468,720,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3147.48,34.2,3113.28,1278,13762.14564,1.377357418
30,AKOXIJ_clean,7.01714,4.33707,6.94236,1.42761,1022.79,287.21,0.528,0.369848,0,Ni,Yes,Ni,clean,Y,Ni18 H48 C344 N52 O112,0,48,344,52,112,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560.54,34.38,1526.16,574,9022.481364,1.427601709
31,AKUHOD03_clean,3.27626,2.72445,3.26287,2.39221,0,0,0.3686,0.154084,0,Gd,Yes,Gd,clean,N,Gd4 H16 C18 O28,0,16,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.22,4.8,177.42,66,908.8435769,2.392214206
32,am301365h_si_002_clean,11.58637,3.48934,11.58637,0.907013,1494.34,0,0.6382,0.703628,0,Zn,No,0,clean,Y,Zn12 H144 C96 N48,0,144,96,48,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.32,19.8,707.52,300,5044.200875,0.907071253
33,AMIZIG_clean,6.42874,5.80877,6.41409,1.40393,699.498,0,0.4248,0.302579,0,"Na,Zn",Yes,Zn,clean,Y,Na4 Zn8 H84 C108 O48,0,84,108,0,48,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.24,16.92,625.32,252,3270.258737,1.403996482
34,ANOMOG_clean,12.8003,5.50166,12.79961,0.784559,2116.78,0,0.7198,0.917458,0,Cu,Yes,Cu,clean,Y,Cu12 H68 C204 N12 O80,12,68,204,12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.28,22.8,981.48,376,10009.77358,0.784553134
35,APEBII_clean,10.32114,3.69719,10.3209,1.22342,1765.75,0,0.6248,0.510698,0,Cu,Yes,Cu,clean,Y,Cu18 H90 C342 N36 O162,18,90,342,36,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771.02,34.2,1736.82,648,11453.3324,1.223417142
36,APEBOO_clean,10.56651,4.16012,10.56651,1.24771,1971.26,0,0.6524,0.52288,0,Zn,Yes,Zn,clean,Y,Zn18 H108 C396 N36 O144,0,108,396,36,144,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881.9,29.7,1852.2,702,11778.70061,1.247742571
37,AQEFOS_clean,8.68225,2.76851,8.68064,1.96074,0,799.798,0.5044,0.25725,0,"Mo,Cu",Yes,"Mo,Cu",clean,Y,Cu10 Mo12 P1 H48 C48 N24 Cl2 O36,10,48,48,24,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.23,44.92,433.31,181,2901.178854,1.960731156
38,AQEGUY_clean,5.54395,4.66139,5.49926,1.46355,1275.66,0,0.5148,0.351747,0,Ba,Yes,Ba,clean,Y,Ba4 H74 C80 S8 O50,0,74,80,0,50,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,3.56,559.44,216,2996.75724,1.463543572
39,AQERUL_clean,5.19905,3.7128,5.19898,1.6479,850.334,0,0.4402,0.267129,0,Co,No,0,clean,Y,Co32 H464 C512 N48 O104,0,464,512,48,104,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890.24,60.16,2830.08,1160,10922.59823,1.647872985
40,AQIQIC_clean,6.11416,2.65573,6.10292,1.45271,0,973.967,0.4784,0.329316,0,Mn,Yes,Mn,clean,Y,Mn16 H40 C120 N8 O88,0,40,120,8,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745.84,24.8,721.04,272,4435.79038,1.452707593
41,AQIXUU_clean,5.00071,3.74213,5.00071,2.31618,778.297,0,0.406,0.175289,0,Co,Yes,Co,clean,Y,Co10 H48 C12 N2 O18,0,48,12,2,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,18.8,204.2,90,787.0769768,2.31618129
42,AQOLOJ_clean,15.82324,9.85536,15.82324,0.918562,1262.34,403.393,0.709,0.771858,0,Co,Yes,Co,clean,Y,Co12 H72 C120 N96 Cl3,0,72,120,96,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788.28,22.56,765.72,303,6638.31211,0.918545664
43,AQOTIK_clean,6.7817,3.86887,6.78051,1.47348,1288.35,0,0.5612,0.380867,0,"Fe,Pt",Yes,Pt,clean,Y,Fe1 Pt1 C24 N6,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.55,4.11,79.44,32,702.3483918,1.473472613
44,ASANAL_clean,5.37126,3.88285,5.37126,1.20144,1052.9,0,0.5218,0.434312,0,Cd,Yes,Cd,clean,Y,Cd4 H160 C124 N16 O16,0,160,124,16,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.64,6.76,771.88,320,3566.405916,1.201420557
45,ASEKAM_clean,5.99031,5.00967,5.99031,1.72662,1403.65,0,0.5696,0.329892,0,Cd,Yes,Cd,clean,Y,Cd8 H20 C36 N16 O24,0,20,36,16,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.52,13.52,267,104,1884.917003,1.726618038
